,DNS Name,IDN,転記,言語,文字,テスト用サイトのURL
0,xn--kgbechtv,إختبار.,ik͡htibār,アラビア語,アラビア文字,http://مثال.إختبار
1,xn--hgbk6aj7f53bba,آزمایشی.,ậzmạy̰sẖy,ペルシア語,ペルシア文字,http://مثال.آزمایشی
2,xn--0zwm56d,.测试,cèshì,中国語,簡体字,http://例子.测试
3,xn--g6w251d,.測試,cèshì,中国語,繁体字,http://例子.測試
4,xn--80akhbyknj4f,.испытание,ispytánije,ロシア語,キリル文字,http://пример.испытание
5,xn--11b5bs3a9aj6g,.परीक्षा,parīkṣā,ヒンディー語,デーヴァナーガリー,http://उदाहरण.परीक्षा
6,xn--jxalpdlp,.δοκιμή,dokimé,ギリシア語,ギリシア文字,http://παράδειγμα.δοκιμή
7,xn--9t4b11yi5a,.테스트,teseuteu,韓国語,ハングル,http://실례.테스트
8,xn--deba0ad,טעסט.,test,イディッシュ語,ヘブライ文字,http://בײַשפּיל.טעסט
9,xn--zckzah,.テスト,tesuto,日本語,片仮名[224],http://例え.テスト
10,xn--hlcj6aya9esc7a,.பரிட்சை,pariṭcai,タミル語,タミル文字,http://உதாரணம்.பரிட்சை
