,Name,Target market,Restrictions,Operator/Registry,IDN,DNSSEC
0,.academy,academic institutes,—,ドーナツ[donuts 1],Yes,Yes
1,.accountant,accountants and accounting firms,—,Famous Four Media,不明,Yes
2,.accountants,accountants and accounting firms,—,ドーナツ[donuts 2],Yes,Yes
3,.active,general,—,The Active Network,不明,Yes
4,.actor,actors,—,Rightside Group[n 1],Yes,Yes
5,.adult,adult entertainment (pornography),"For sites providing sexually explicit content, such as pornography.",,Yes,Yes
6,.aero,航空業界,Must verify eligibility for registration; only those in various categories of air-travel-related entities may register.,SITA,No,No
7,.agency,business associations,—,ドーナツ[donuts 3],Yes[10],Yes
8,.airforce,defense contractors,—,Rightside Group[n 1],不明,Yes
9,.apartments,apartments,—,ドーナツ,Yes,Yes
10,.app,Phone apps,—,Google[n 2],不明,Yes
11,.archi,architects and architect firms[41],Restricted to individuals and organizations that can verify participation in architecture industry.[42],STARTING DOT LIMITED,不明,Yes
12,.army,defense contractors,—,Rightside Group[n 1],不明,Yes
13,.associates,business associations,—,ドーナツ[donuts 4],Yes,Yes
14,.attorney,attorneys and legal organizations,—,Rightside Group[n 1],不明,Yes
15,.auction,,—,Rightside Group[n 1],不明,Yes
16,.audio,"stereo/sound systems, music",—,Uniregistry,Yes[43],Yes
17,.autos,,—,DERAutos,不明,Yes
18,.band,,—,Rightside Group[n 1],不明,Yes
19,.bar,Bars and related industry,—,Punto 2012,Yes,Yes
20,.bargains,coupons and online sellers,—,ドーナツ[donuts 5],Yes,Yes
21,.beer,breweries and beer aficionados,—,Minds + Machines[n 3],不明,Yes
22,.best,,—,BestTLD Pty Ltd,不明,Yes
23,.bid,auctions,—,dot Bid Limited,Yes,Yes
24,.bike,bicycles,—,ドーナツ[donuts 6],Yes[44],Yes
25,.bingo,ビンゴ,—,ドーナツ,Yes,Yes
26,.bio,"biodiversity, biographies",May require compliance with organic agriculture principles.[45],STARTING DOT LIMITED,不明,Yes
27,.biz,ビジネス,"Open TLD; any person or entity is permitted to register; however, registrations may be challenged later if they are not held by commercial entities in accordance with the domain's charter. This TLD was created to provide relief for the .com TLD, where many names have already been taken.",NeuStar,Yes[10],Yes
28,.black,those who like the color black[46],—,Afilias,Yes,Yes
29,.blackfriday,"ブラックフライデー, retail",—,Uniregistry,Yes[43],Yes
30,.blog,Blogs,—,,不明,Yes
31,.blue,those who like the color blue[47],—,Afilias,Yes,Yes
32,.boo,ghosts and spooky business,—,Google[n 2],不明,Yes
33,.boutique,specialized businesses,—,ドーナツ[donuts 7],Yes,Yes
34,.build,construction industry,—[48],,Yes,Yes
35,.builders,construction workers,—,ドーナツ[donuts 8],Yes,Yes
36,.business,businesses,—,ドーナツ[donuts 9],Yes,Yes
37,.buzz,marketing and social networking,—,DOTSTRATEGY,Yes,Yes
38,.cab,cabs and taxi companies,—,ドーナツ[donuts 10],Yes,Yes
39,.camera,camera-related businesses,—,ドーナツ[donuts 11],Yes,Yes
40,.camp,camps and camping,—,ドーナツ[donuts 12],Yes,Yes
41,.cancerresearch,"Organizations, research institutes and individuals interested in ending cancer through research [49]",—,Australian Cancer Research Foundation,不明,Yes
42,.capital,financial firms,—,ドーナツ[donuts 13],Yes,Yes
43,.cards,general,—,ドーナツ[donuts 14],Yes,Yes
44,.care,healthcare industry,—,ドーナツ[donuts 15],Yes,Yes
45,.career,,—,dotCareer LLC,Yes,Yes
46,.careers,Employment,—,ドーナツ[donuts 16],Yes,Yes
47,.cash,financial,—,ドーナツ[donuts 17],Yes,Yes
48,.casino,カジノ,—,ドーナツ,Yes,Yes
49,.catering,Food service,—,ドーナツ[donuts 18],Yes,Yes
50,.center,general,—,ドーナツ[donuts 19],Yes,Yes
51,.ceo,CEOs,—[50],CEOTLD Pty Ltd,不明,Yes
52,.channel,,—,Google[n 2],不明,Yes
53,.chat,online chat,—,ドーナツ,Yes,Yes
54,.cheap,Resellers,—,ドーナツ[donuts 20],Yes,Yes
55,.christmas,Christmas,—,Uniregistry,Yes[43],Yes
56,.church,churches,—,ドーナツ[donuts 21],Yes,Yes
57,.city,general,—,ドーナツ[donuts 22],Yes,Yes
58,.claims,"retail, auctions",—,ドーナツ[donuts 23],Yes,Yes
59,.cleaning,Cleaning services,—,ドーナツ[donuts 24],Yes,Yes
60,.click,,—,Uniregistry,Yes[43],Yes
61,.clinic,healthcare clinics,—,ドーナツ[donuts 25],Yes,Yes
62,.clothing,Apparel,—,ドーナツ[donuts 26],Yes,Yes
63,.club,"groups, organizations, assemblies, communities, general",—[51],.CLUB DOMAINS,Yes[52],Yes
64,.coach,travel (flights and motor coaches),—,ドーナツ,Yes,Yes
65,.codes,computer and/or encryption code enthusiasts,—,ドーナツ[donuts 27],Yes,Yes
66,.coffee,cafés and coffee aficionados,—,ドーナツ[donuts 28],Yes,Yes
67,.college,Educational,—,XYZ.com,Yes,Yes
68,.community,"social groups, neighborhoods",—,ドーナツ[donuts 29],Yes,Yes
69,.company,business associations,—,ドーナツ[donuts 30],Yes,Yes
70,.computer,Technology,—,ドーナツ[donuts 31],Yes,Yes
71,.condos,Real estate,—,ドーナツ[donuts 32],Yes,Yes
72,.construction,Construction industry,—,ドーナツ[donuts 33],Yes,Yes
73,.consulting,hired advisors,—,Rightside Group[n 1],Yes,Yes
74,.contractors,Remodeling and independent businesses,—,ドーナツ[donuts 34],Yes,Yes
75,.cooking,sharing recipes,—,Minds + Machines[n 3],Yes,Yes
76,.cool,General interests,—,ドーナツ[donuts 35],Yes,Yes
77,.country,general,—,Minds + Machines[n 3],Yes,Yes
78,.coupons,coupons,—,ドーナツ,Yes,Yes
79,.credit,Financial institutions,—,ドーナツ[donuts 36],Yes,Yes
80,.creditcard,Financial institutions,—,ドーナツ[donuts 37],Yes,Yes
81,.cricket,クリケット,—,Famous Four Media[ffm 1],不明,Yes
82,.cruises,cruise businesses and travel,—,ドーナツ[donuts 38],Yes,Yes
83,.dad,families,—,Google[n 2],不明,Yes
84,.dance,Dance studios and companies,—,Rightside Group[n 1],Yes,Yes
85,.date,online dating,—,,不明,Yes
86,.dating,online dating,—,ドーナツ[donuts 39],Yes,Yes
87,.day,general,—,Google[n 2],不明,Yes
88,.deals,online shopping and couponing,—,ドーナツ[donuts 40],Yes,Yes
89,.degree,general,—,Rightside Group[n 1],不明,Yes
90,.delivery,general,—,ドーナツ[donuts 41],Yes,Yes
91,.democrat,民主党 politics,—,Rightside Group[n 1],Yes,Yes
92,.dental,歯科医,—,ドーナツ[donuts 42],Yes,Yes
93,.dentist,歯科医,—,Rightside Group[n 1],不明,Yes
94,.design,graphic art and fashion,—,ドーナツ,Yes,Yes
95,.diamonds,diamond and jewelry industry,—,ドーナツ[donuts 43],Yes,Yes
96,.diet,,—,Uniregistry,Yes[43],Yes
97,.digital,general,—,ドーナツ[donuts 44],Yes,Yes
